dataset,group_by,group,artist,style,genre,source_shard,source_row,output_path
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,66,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0004.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,portrait,train-00000-of-00072.parquet,67,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0006.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,genre_painting,train-00000-of-00072.parquet,68,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0004.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,landscape,train-00000-of-00072.parquet,71,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0002.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,genre_painting,train-00000-of-00072.parquet,72,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0008.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,portrait,train-00000-of-00072.parquet,75,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0007.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,cityscape,train-00000-of-00072.parquet,76,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0001.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,landscape,train-00000-of-00072.parquet,78,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0003.jpg
WikiArt,artist,camille-pissarro,camille-pissarro,Impressionism,cityscape,train-00000-of-00072.parquet,79,datasets/partial/WikiArt_hot40_top15_artist/camille_pissarro/camille_pissarro_0001.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,landscape,train-00000-of-00072.parquet,80,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0009.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,genre_painting,train-00000-of-00072.parquet,81,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0004.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,82,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0005.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,83,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0008.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,Unknown Genre,train-00000-of-00072.parquet,84,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0008.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,cityscape,train-00000-of-00072.parquet,85,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0005.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Impressionism,cityscape,train-00000-of-00072.parquet,86,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0003.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Post_Impressionism,genre_painting,train-00000-of-00072.parquet,87,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0002.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Art_Nouveau,cityscape,train-00000-of-00072.parquet,88,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0005.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,nude_painting,train-00000-of-00072.parquet,89,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0009.jpg
WikiArt,artist,marc-chagall,marc-chagall,Expressionism,Unknown Genre,train-00000-of-00072.parquet,91,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0005.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,95,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0009.jpg
WikiArt,artist,camille-pissarro,camille-pissarro,Impressionism,landscape,train-00000-of-00072.parquet,97,datasets/partial/WikiArt_hot40_top15_artist/camille_pissarro/camille_pissarro_0002.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,101,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0010.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Expressionism,still_life,train-00000-of-00072.parquet,102,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0003.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,sketch_and_study,train-00000-of-00072.parquet,105,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0011.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Art_Nouveau,nude_painting,train-00000-of-00072.parquet,106,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0006.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,landscape,train-00000-of-00072.parquet,107,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0007.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,genre_painting,train-00000-of-00072.parquet,109,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0012.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,landscape,train-00000-of-00072.parquet,110,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0010.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,112,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0013.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,Unknown Genre,train-00000-of-00072.parquet,113,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0011.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Post_Impressionism,genre_painting,train-00000-of-00072.parquet,115,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0004.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,landscape,train-00000-of-00072.parquet,116,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0002.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Realism,landscape,train-00000-of-00072.parquet,117,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0005.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Realism,sketch_and_study,train-00000-of-00072.parquet,118,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0007.jpg
WikiArt,artist,eugene-boudin,eugene-boudin,Impressionism,cityscape,train-00000-of-00072.parquet,119,datasets/partial/WikiArt_hot40_top15_artist/eugene_boudin/eugene_boudin_0002.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,religious_painting,train-00000-of-00072.parquet,120,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0008.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,illustration,train-00000-of-00072.parquet,121,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0006.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,cityscape,train-00000-of-00072.parquet,122,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0006.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,123,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0006.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Realism,landscape,train-00000-of-00072.parquet,124,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0006.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,landscape,train-00000-of-00072.parquet,126,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0003.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,sketch_and_study,train-00000-of-00072.parquet,128,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0012.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,130,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0007.jpg
WikiArt,artist,camille-pissarro,camille-pissarro,Realism,landscape,train-00000-of-00072.parquet,132,datasets/partial/WikiArt_hot40_top15_artist/camille_pissarro/camille_pissarro_0003.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,genre_painting,train-00000-of-00072.parquet,133,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0013.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,landscape,train-00000-of-00072.parquet,134,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0010.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,genre_painting,train-00000-of-00072.parquet,135,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0007.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Art_Nouveau,genre_painting,train-00000-of-00072.parquet,137,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0008.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,138,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0014.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,illustration,train-00000-of-00072.parquet,139,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0008.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,still_life,train-00000-of-00072.parquet,140,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0014.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,landscape,train-00000-of-00072.parquet,141,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0007.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,sketch_and_study,train-00000-of-00072.parquet,142,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0015.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Impressionism,cityscape,train-00000-of-00072.parquet,143,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0004.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Realism,landscape,train-00000-of-00072.parquet,144,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0007.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Realism,Unknown Genre,train-00000-of-00072.parquet,145,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0008.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Post_Impressionism,sketch_and_study,train-00000-of-00072.parquet,146,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0009.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,genre_painting,train-00000-of-00072.parquet,148,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0008.jpg
WikiArt,artist,martiros-saryan,martiros-saryan,Expressionism,genre_painting,train-00000-of-00072.parquet,150,datasets/partial/WikiArt_hot40_top15_artist/martiros_saryan/martiros_saryan_0003.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Impressionism,landscape,train-00000-of-00072.parquet,151,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0005.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,landscape,train-00000-of-00072.parquet,152,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0015.jpg
WikiArt,artist,pyotr-konchalovsky,pyotr-konchalovsky,Post_Impressionism,Unknown Genre,train-00000-of-00072.parquet,153,datasets/partial/WikiArt_hot40_top15_artist/pyotr_konchalovsky/pyotr_konchalovsky_0010.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,154,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0008.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,cityscape,train-00000-of-00072.parquet,155,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0004.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Art_Nouveau,cityscape,train-00000-of-00072.parquet,156,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0016.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,Unknown Genre,train-00000-of-00072.parquet,157,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0005.jpg
WikiArt,artist,ivan-aivazovsky,ivan-aivazovsky,Romanticism,landscape,train-00000-of-00072.parquet,158,datasets/partial/WikiArt_hot40_top15_artist/ivan_aivazovsky/ivan_aivazovsky_0009.jpg
WikiArt,artist,camille-pissarro,camille-pissarro,Impressionism,landscape,train-00000-of-00072.parquet,161,datasets/partial/WikiArt_hot40_top15_artist/camille_pissarro/camille_pissarro_0004.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,landscape,train-00000-of-00072.parquet,162,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0016.jpg
WikiArt,artist,martiros-saryan,martiros-saryan,Post_Impressionism,landscape,train-00000-of-00072.parquet,163,datasets/partial/WikiArt_hot40_top15_artist/martiros_saryan/martiros_saryan_0004.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Realism,sketch_and_study,train-00000-of-00072.parquet,164,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0017.jpg
WikiArt,artist,marc-chagall,marc-chagall,Naive_Art_Primitivism,religious_painting,train-00000-of-00072.parquet,165,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0009.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,sketch_and_study,train-00000-of-00072.parquet,168,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0018.jpg
WikiArt,artist,boris-kustodiev,boris-kustodiev,Art_Nouveau,genre_painting,train-00000-of-00072.parquet,169,datasets/partial/WikiArt_hot40_top15_artist/boris_kustodiev/boris_kustodiev_0009.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,Unknown Genre,train-00000-of-00072.parquet,173,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0017.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,174,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0018.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,still_life,train-00000-of-00072.parquet,176,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0019.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,genre_painting,train-00000-of-00072.parquet,178,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0006.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Art_Nouveau,Unknown Genre,train-00000-of-00072.parquet,179,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0019.jpg
WikiArt,artist,gustave-dore,gustave-dore,Romanticism,illustration,train-00000-of-00072.parquet,180,datasets/partial/WikiArt_hot40_top15_artist/gustave_dore/gustave_dore_0009.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Impressionism,Unknown Genre,train-00000-of-00072.parquet,182,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0006.jpg
WikiArt,artist,marc-chagall,marc-chagall,Cubism,genre_painting,train-00000-of-00072.parquet,184,datasets/partial/WikiArt_hot40_top15_artist/marc_chagall/marc_chagall_0010.jpg
WikiArt,artist,claude-monet,claude-monet,Impressionism,genre_painting,train-00000-of-00072.parquet,185,datasets/partial/WikiArt_hot40_top15_artist/claude_monet/claude_monet_0009.jpg
WikiArt,artist,childe-hassam,childe-hassam,Impressionism,nude_painting,train-00000-of-00072.parquet,186,datasets/partial/WikiArt_hot40_top15_artist/childe_hassam/childe_hassam_0007.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,Unknown Genre,train-00000-of-00072.parquet,187,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0020.jpg
WikiArt,artist,john-singer-sargent,john-singer-sargent,Realism,genre_painting,train-00000-of-00072.parquet,190,datasets/partial/WikiArt_hot40_top15_artist/john_singer_sargent/john_singer_sargent_0007.jpg
WikiArt,artist,vincent-van-gogh,vincent-van-gogh,Post_Impressionism,sketch_and_study,train-00000-of-00072.parquet,192,datasets/partial/WikiArt_hot40_top15_artist/vincent_van_gogh/vincent_van_gogh_0020.jpg
WikiArt,artist,pierre-auguste-renoir,pierre-auguste-renoir,Impressionism,nude_painting,train-00000-of-00072.parquet,195,datasets/partial/WikiArt_hot40_top15_artist/pierre_auguste_renoir/pierre_auguste_renoir_0011.jpg
WikiArt,artist,nicholas-roerich,nicholas-roerich,Symbolism,landscape,train-00000-of-00072.parquet,196,datasets/partial/WikiArt_hot40_top15_artist/nicholas_roerich/nicholas_roerich_0021.jpg
